Trace	Label	Lat.(ms)	Amp.(uV)	Area (V/s)	
Fz-RF	P1	 54,30	 0,26		
Fz-RF	N1	 132,42	 -7,17		
Fz-RF	P2	 192,97	 4,24		
Fz-RF	N2	 235,94	 -1,82		
Fz-RF	P3	 333,59	 11,8		
Cz-RF	P1	 54,30	 0,93		
Cz-RF	N1	 130,47	 -6,38		
Cz-RF	P2	 189,06	 6,62		
Cz-RF	N2	 235,94	 2,01		
Cz-RF	P3	 333,59	 15,6		
Pz-RF	P1	 54,30	 -1,94		
Pz-RF	N1	 132,42	 -7,26		
Pz-RF	P2	 183,20	 2,53		
Pz-RF	N2	 235,94	 -0,35		
Pz-RF	P3	 331,64	 12,6		
