Trace	Label	Lat.(ms)	Amp.(uV)	Area (V/s)	
Fz-RF	P1	 36,72	 3,44		
Fz-RF	N1	 89,45	 -8,03		
Fz-RF	P2	 181,25	 5,59		
Fz-RF	N2	 220,31	 -0,27		
Fz-RF	P3	 345,31	 10,9		
Cz-RF	P1	 36,72	 3,45		
Cz-RF	N1	 89,45	 -8,64		
Cz-RF	P2	 179,30	 4,43		
Cz-RF	N2	 216,41	 0,35		
Cz-RF	P3	 347,27	 13,3		
Pz-RF	P1	 36,72	 1,14		
Pz-RF	N1	 89,45	 -6,34		
Pz-RF	P2	 179,30	 2,66		
Pz-RF	N2	 214,45	 0,09		
Pz-RF	P3	 353,13	 13,8		
