Trace	Label	Lat.(ms)	Amp.(uV)	Area (V/s)	
Fz-RF	P1	 15,23	 -0,66		
Fz-RF	N1	 95,31	 -10,1		
Fz-RF	P2	 161,72	 3,45		
Fz-RF	N2	 187,11	 -1,73		
Fz-RF	P3	 296,48	 22,7		
Cz-RF	P1	 15,23	 -2,25		
Cz-RF	N1	 95,31	 -10,3		
Cz-RF	P2	 161,72	 2,01		
Cz-RF	N2	 185,16	 -2,21		
Cz-RF	P3	 296,48	 20,2		
Pz-RF	P1	 15,23	 -2,10		
Pz-RF	N1	 69,92	 -8,46		
Pz-RF	P2	 167,58	 -0,67		
Pz-RF	N2	 181,25	 -1,26		
Pz-RF	P3	 304,30	 19,2		
