Trace	Label	Lat.(ms)	Amp.(uV)	Area (V/s)	
Fz-RF	P1	 52,34	 5,33		
Fz-RF	N1	 105,08	 -4,99		
Fz-RF	P2	 171,48	 5,59		
Fz-RF	N2	 217,38	 -3,58		
Fz-RF	P3	 329,69	 11,4		
Cz-RF	P1	 56,25	 6,30		
Cz-RF	N1	 107,03	 -6,59		
Cz-RF	P2	 171,48	 8,19		
Cz-RF	N2	 219,34	 -5,52		
Cz-RF	P3	 329,69	 7,38		
Pz-RF	P1	 72,85	 2,56		
Pz-RF	N1	 112,89	 -8,09		
Pz-RF	N2	 217,38	 -5,55		
Pz-RF	P2	 173,44	 7,54		
Pz-RF	P3	 334,57	 4,93		
