Trace	Label	Lat.(ms)	Amp.(uV)	Area (V/s)	
Fz-RF	P1	 5,47	 4,43		
Fz-RF	N1	 97,27	 -7,57		
Fz-RF	P2	 196,88	 4,28		
Fz-RF	N2	 247,66	 -3,64		
Fz-RF	P3	 372,66	 11,1		
Cz-RF	P1	 42,58	 -0,60		
Cz-RF	N1	 97,27	 -7,09		
Cz-RF	P2	 200,78	 4,13		
Cz-RF	N2	 249,61	 -1,75		
Cz-RF	P3	 355,08	 9,60		
Pz-RF	P1	 62,11	 -0,17		
Pz-RF	N1	 105,08	 -4,89		
Pz-RF	N2	 243,75	 -0,14		
Pz-RF	P2	 200,78	 1,11		
Pz-RF	P3	 345,31	 7,10		
